vocabularyID	prefLabel	altLabel	note	definition	broader	narrower	related	broadMatch	narrowMatch	relatedMatch	closeMatch	exactMatch	seeAlso	isDefinedBy	sameAs	contributor	internalID
7e34e500-53e8-48a3-b20c-aa6c8faee743	"LBK phase 2 (Lindig);en;LBK Phase 2 (Lindig);de"			"Linear pottery culture phase 2 as descibed by Lindig (2006);en"	2			http://vocab.getty.edu/aat/300107826									18
7e34e500-53e8-48a3-b20c-aa6c8faee743	"LBK phase 3 (Lindig);en;LBK Phase 3 (Lindig);de"			"Linear pottery culture phase 3 as descibed by Lindig (2006);en"	3			http://vocab.getty.edu/aat/300107826									19
7e34e500-53e8-48a3-b20c-aa6c8faee743	"LBK phase 4 (Lindig);en;LBK Phase 4 (Lindig);de"			"Linear pottery culture phase 4 as descibed by Lindig (2006);en"	3			http://vocab.getty.edu/aat/300107826									20
7e34e500-53e8-48a3-b20c-aa6c8faee743	"LBK phase 5 (Lindig);en;LBK Phase 5 (Lindig);de"			"Linear pottery culture phase 5 as descibed by Lindig (2006);en"	3			http://vocab.getty.edu/aat/300107826									21
7e34e500-53e8-48a3-b20c-aa6c8faee743	"LBK phase 6 (Lindig);en;LBK Phase 6 (Lindig);de"			"Linear pottery culture phase 6 as descibed by Lindig (2006);en"	3			http://vocab.getty.edu/aat/300107826									22
7e34e500-53e8-48a3-b20c-aa6c8faee743	"LBK phase 7 (Lindig);en;LBK Phase 7 (Lindig);de"			"Linear pottery culture phase 7 as descibed by Lindig (2006);en"	3			http://vocab.getty.edu/aat/300107826									23
7e34e500-53e8-48a3-b20c-aa6c8faee743	"LBK phase 8 (Lindig);en;LBK Phase 8 (Lindig);de"			"Linear pottery culture phase 8 as descibed by Lindig (2006);en"	4			http://vocab.getty.edu/aat/300107826									24
7e34e500-53e8-48a3-b20c-aa6c8faee743	"LBK phase 9 (Lindig);en;LBK Phase 9 (Lindig);de"			"Linear pottery culture phase 9 as descibed by Lindig (2006);en"	4			http://vocab.getty.edu/aat/300107826									25
7e34e500-53e8-48a3-b20c-aa6c8faee743	"LBK phase 10 (Lindig);en;LBK Phase 10 (Lindig);de"			"Linear pottery culture phase 10 as descibed by Lindig (2006);en"	4			http://vocab.getty.edu/aat/300107826									26
7e34e500-53e8-48a3-b20c-aa6c8faee743	"LBK phase 11 (Lindig);en;LBK Phase 11 (Lindig);de"			"Linear pottery culture phase 11 as descibed by Lindig (2006);en"	4			http://vocab.getty.edu/aat/300107826									27
7e34e500-53e8-48a3-b20c-aa6c8faee743	"LBK phase 12 (Lindig);en;LBK Phase 12 (Lindig);de"			"Linear pottery culture phase 12 as descibed by Lindig (2006);en"	5			http://vocab.getty.edu/aat/300107826									28
7e34e500-53e8-48a3-b20c-aa6c8faee743	"LBK phase 13 (Lindig);en;LBK Phase 13 (Lindig);de"			"Linear pottery culture phase 13 as descibed by Lindig (2006);en"	5			http://vocab.getty.edu/aat/300107826									29
7e34e500-53e8-48a3-b20c-aa6c8faee743	"LBK phase 14 (Lindig);en;LBK Phase 14 (Lindig);de"			"Linear pottery culture phase 14 as descibed by Lindig (2006);en"	5			http://vocab.getty.edu/aat/300107826									30
7e34e500-53e8-48a3-b20c-aa6c8faee743	"LBK phase 15 (Lindig);en;LBK Phase 15 (Lindig);de"			"Linear pottery culture phase 15 as descibed by Lindig (2006);en"	5			http://vocab.getty.edu/aat/300107826									31
7e34e500-53e8-48a3-b20c-aa6c8faee743	"LBK phase 16 (Lindig);en;LBK Phase 16 (Lindig);de"			"Linear pottery culture phase 16 as descibed by Lindig (2006);en"	6			http://vocab.getty.edu/aat/300107826									32
7e34e500-53e8-48a3-b20c-aa6c8faee743	"LBK phase 17 (Lindig);en;LBK Phase 17 (Lindig);de"			"Linear pottery culture phase 17 as descibed by Lindig (2006);en"	6			http://vocab.getty.edu/aat/300107826									33
